"x"	"y"	"z"
101069	21615	200
-23234	24138	426
33933	95354	120
132684	-36715	39
46624	4259	171
66081	-107871	1
-116780	-32596	334
67556	-101183	0
-49564	46539	288
1778	-11490	73
-80712	-24291	407
20697	27464	70
-116742	8555	183
-59304	-22317	174
-103712	14987	225
68402	92319	142
54930	-73510	227
-51974	-57968	99
-123184	-9111	79
34603	-20286	262
-148491	-46357	187
-15935	-81522	58
-127684	-5680	234
-25311	69736	331
96467	24875	282
39426	57582	106
1762	41883	212
81859	40225	184
60382	71103	134
-51393	-80213	39
31917	53089	77
-109680	20655	296
76383	54608	95
53719	59919	119
6322	16312	71
-24666	44159	311
47974	-70233	312
-66815	-11118	405
-93956	-40780	415
-20059	66380	350
44793	45389	45
35888	19752	86
-79712	-6511	493
105188	-40595	65
77743	65746	61
-25141	-70371	0
-42545	77619	133
4779	47445	165
83475	85842	115
81551	-48745	257
-145922	-35296	149
12324	48568	178
-109192	-36075	394
254	-1483	53
-27780	24157	378
-33561	73113	253
61111	73335	126
-67188	23360	300
-87683	-30866	154
-18685	25234	314
-45400	-1310	192
-44038	78742	123
-26794	74190	315
53526	81045	123
-96756	22655	290
-82882	39127	194
-124038	-13542	120
-75197	49033	209
94583	378	298
61816	5509	247
67298	-8888	343
-96147	-34073	383
65456	87838	118
98187	-34040	129
-107305	26173	260
-109172	-34963	394
93505	68200	125
-32168	-89241	108
-8127	-9261	68
-41067	74273	142
-3518	53004	226
-68588	33384	256
58991	59969	118
-52257	-2366	406
-24768	19696	412
-38004	83148	152
42166	95408	100
47728	-39100	359
106209	-11660	186
-158368	-42768	271
63147	23316	155
-37133	-18047	142
115226	-4821	126
33150	-33638	345
-39481	-26928	97
89094	61459	119
33209	90903	113
36429	-70314	444
27284	76417	144
52391	39891	54
